,finalist,variable,value
400,Shea Coulee_US_9_REG,3,2.0
401,Trinity the Tuck_US_9_REG,3,5.0
402,Kita Mean_AUS_1_REG,3,3.0
403,Art Simone_AUS_1_REG,3,
404,Karen from Finance_AUS_1_REG,3,2.0
405,Scarlet Adams_AUS_1_REG,3,5.0
406,Carmen Farala_ESP_1_REG,3,2.0
407,Killer Queen_ESP_1_REG,3,2.0
408,Sagittaria_ESP_1_REG,3,5.0
409,Pupi Poisson_ESP_1_REG,3,3.0
410,Kylie Sonique Love_US_6_AS,3,2.0
411,Ginger Minj_US_6_AS,3,0.0
412,Ra'jah O'Hara_US_6_AS,3,3.0
413,Eureka_US_6_AS,3,2.0
414,Vanessa Van Cartier_HOL_2_REG,3,2.0
415,My Little Puny_HOL_2_REG,3,2.0
416,Vivaldi_HOL_2_REG,3,5.0
417,Ella Vaday_UK_3_REG,3,3.0
418,Kitty Scott-Claus_UK_3_REG,3,2.0
419,Krystal Versace_UK_3_REG,3,3.0
420,Icesis Couture_CAN_2_REG,3,2.0
421,Kendall Gender_CAN_2_REG,3,1.0
422,Pythia_CAN_2_REG,3,2.0
423,Farida Kant_ITA_1_REG,3,2.0
424,Elecktra Bionic_ITA_1_REG,3,2.0
425,Le Riche_ITA_1_REG,3,0.0
426,Luquisha Lubamba_ITA_1_REG,3,3.0
427,Blu Hydrangea_UK_1_WORLD,3,2.0
428,Mo Heart_UK_1_WORLD,3,1.0
429,Baga Chipz_UK_1_WORLD,3,2.0
430,Jujubee_UK_1_WORLD,3,0.0
431,Angeria Paris VanMichaels_US_14_REG,3,3.0
432,Bosco_US_14_REG,3,2.0
433,Daya Betty_US_14_REG,3,2.0
434,Lady Camden_US_14_REG,3,2.0
435,Willow Pill_US_14_REG,3,5.0
436,Estrella Xtravaganza_ESP_2_REG,3,3.0
437,Sharonne_ESP_2_REG,3,3.0
438,Venedita Von Dash_ESP_2_REG,3,5.0
439,Marina_ESP_2_REG,3,2.0
440,Jinkx Monsoon_US_7_AS,3,2.0
441,Monet X Change_US_7_AS,3,2.0
442,Shea Coulee_US_7_AS,3,3.0
443,Trinity the Tuck_US_7_AS,3,4.0
444,Paloma_FRA_1_REG,3,3.0
445,La Grande Dame_FRA_1_REG,3,3.0
446,Soa de Muse_FRA_1_REG,3,0.0
447,Lolita Banana_FRA_1_REG,3,2.0
448,Gisele Lullaby_CAN_3_REG,3,2.0
449,Jada Shada Hudson_CAN_3_REG,3,5.0
450,Kimmy Couture_CAN_3_REG,3,3.0
451,Miss Fiercalicious_CAN_3_REG,3,0.0
452,Hanna Conda_AUS_2_REG,3,2.0
453,Kween Kong_AUS_2_REG,3,2.0
454,Spankie Jackzon_AUS_2_REG,3,5.0
455,Eva Le Queen_PH_1_REG,3,3.0
456,Marina Summers_PH_1_REG,3,3.0
457,Precious Paula Nicole_PH_1_REG,3,2.0
458,Xilhouete_PH_1_REG,3,0.0
459,Black Peppa_UK_4_REG,3,0.0
460,Cheddar Gorgeous_UK_4_REG,3,1.0
461,Danny Beard_UK_4_REG,3,2.0
462,Jonbers Blonde_UK_4_REG,3,1.0
463,La Diamond_ITA_2_REG,3,5.0
464,Aura Etherial_ITA_2_REG,3,1.0
465,Nehllenia_ITA_2_REG,3,2.0
466,Ra'jah O'Hara_CAN_1_WORLD,3,2.0
467,Rita Baga_CAN_1_WORLD,3,0.0
468,Silky Nutmeg Ganache_CAN_1_WORLD,3,5.0
469,Victoria Scone_CAN_1_WORLD,3,4.0
470,Anetra_US_15_REG,3,2.0
